chunk_id,source_file,word_count,content_preview
AI_Training_Document.pdf_chunk_0,AI_Training_Document.pdf,289,"User Agreement 1 Introduction This User Agreement, the Mobile Application Terms of Use , and all pol..."
AI_Training_Document.pdf_chunk_1,AI_Training_Document.pdf,281,"It also contains an Agreeme nt to Arbitrate which will, with limited exception, require you to submi..."
AI_Training_Document.pdf_chunk_2,AI_Training_Document.pdf,295,"Unless otherwise expressly provided, eBay has no control over and does not guarantee: the existence,..."
AI_Training_Document.pdf_chunk_3,AI_Training_Document.pdf,209,"If you require that authorized third parties employees, agents, etc have access to your account we o..."
AI_Training_Document.pdf_chunk_4,AI_Training_Document.pdf,294,"Some, but not all, actions that may constitute infringement are reproducing, performing, displaying,..."
AI_Training_Document.pdf_chunk_5,AI_Training_Document.pdf,262,"Also, as provided below in the Fees and Taxes section, if we believe you are violating our policy on..."
AI_Training_Document.pdf_chunk_6,AI_Training_Document.pdf,283,eBay has never: 1 held title for any vehicle listed on eBay sites; 2 inspected any vehicle listed on...
AI_Training_Document.pdf_chunk_7,AI_Training_Document.pdf,300,The purchase of a vehicle encompasses multiple disciplines and eBay is not an expert on matters such...
AI_Training_Document.pdf_chunk_8,AI_Training_Document.pdf,250,"In particular, if you offer or reference your contact information or ask a b uyer for their contact ..."
AI_Training_Document.pdf_chunk_9,AI_Training_Document.pdf,265,"Listing Conditions When listing an item for sale on our Services, you agree to comply with eBay's Li..."
AI_Training_Document.pdf_chunk_10,AI_Training_Document.pdf,261,"To drive a positive user experience, a listing may not appear in some search and browse results rega..."
AI_Training_Document.pdf_chunk_11,AI_Training_Document.pdf,122,"You are solely responsible for any non -conformity or defect in, or compliance with any public or pr..."
AI_Training_Document.pdf_chunk_12,AI_Training_Document.pdf,300,"Purchase Conditions When buying an item using our Services, you agree to the Rules and policies for ..."
AI_Training_Document.pdf_chunk_13,AI_Training_Document.pdf,298,Sellers and buyers are responsible for complying with all laws and regulations applicable to the int...
AI_Training_Document.pdf_chunk_14,AI_Training_Document.pdf,291,By listing your item on eBay com you agree to the EIS Terms and Conditions If you choose not to part...
AI_Training_Document.pdf_chunk_15,AI_Training_Document.pdf,287,You may use that content solely in your eBay listings eBay may modify or revoke such permission at a...
AI_Training_Document.pdf_chunk_16,AI_Training_Document.pdf,286,"Holds and Restricted Funds To protect eBay from risk of liability for your actions as a seller, eBay..."
AI_Training_Document.pdf_chunk_17,AI_Training_Document.pdf,296,"These service providers may contact you using autodialed or prerecorded calls and text messages, onl..."
AI_Training_Document.pdf_chunk_18,AI_Training_Document.pdf,280,Sellers may remove or customiz e their return preferences in their account settings within My eBay W...
AI_Training_Document.pdf_chunk_19,AI_Training_Document.pdf,293,"In certain instances, a buyer may be responsible for the cost of return shipping for an item returne..."
AI_Training_Document.pdf_chunk_20,AI_Training_Document.pdf,190,Recommendations eBay may offer personalized recommendations to you to provide a relevant and engagin...
AI_Training_Document.pdf_chunk_21,AI_Training_Document.pdf,258,"Accordingly, payments received by the eBay Payment Entity from you will satisfy your obligations to ..."
AI_Training_Document.pdf_chunk_22,AI_Training_Document.pdf,298,"By placing a p ayment method on file with us, you authorize eBay Payment Entities to charge your pay..."
AI_Training_Document.pdf_chunk_23,AI_Training_Document.pdf,198,Bid update and other notification functionality in eBay's applications may not occur in real time Su...
AI_Training_Document.pdf_chunk_24,AI_Training_Document.pdf,252,"WITHOUT LIMITING THE GENERALITY OF THE FOREGOING, WE INCLUDING OUR PARENT, SUBSIDIARIES, AND AFFILIA..."
AI_Training_Document.pdf_chunk_25,AI_Training_Document.pdf,298,"Regardless of the previous paragraphs, if we are found to be liable, our liability to you or to any ..."
AI_Training_Document.pdf_chunk_26,AI_Training_Document.pdf,284,"In this Legal Disputes section, the term ""related third parties"" includes your and eBay's respective..."
AI_Training_Document.pdf_chunk_27,AI_Training_Document.pdf,263,The exceptions to this Agreement to Arbitrate are: 1 you or eBay may seek relief in small claims cou...
AI_Training_Document.pdf_chunk_28,AI_Training_Document.pdf,263,"To be valid, you must personally sign the Notice and complete all information on the Notice form, in..."
AI_Training_Document.pdf_chunk_29,AI_Training_Document.pdf,259,"Notwithstanding anything to the contrary in this Agreement to Arbitrate, if a final decision, not su..."
AI_Training_Document.pdf_chunk_30,AI_Training_Document.pdf,300,"3 ""Waiver of Class and Other Non -Individualized Relief"" including any claim that all or part of tha..."
AI_Training_Document.pdf_chunk_31,AI_Training_Document.pdf,290,"A Demand to eBay should be sent by mail to eBay Inc , Attn: Litigation Department, 583 W eBay Way, D..."
AI_Training_Document.pdf_chunk_32,AI_Training_Document.pdf,276,"Subject to the NAM Rules, the arbitrator may direct a limited and reasonable exchange of information..."
AI_Training_Document.pdf_chunk_33,AI_Training_Document.pdf,222,Arbitrator The arbitrator will be either a retired judge or an attorney and will be selected by the ...
AI_Training_Document.pdf_chunk_34,AI_Training_Document.pdf,300,"To the extent, following a presentation on the merits, on it s own motion or a partys, and after aff..."
AI_Training_Document.pdf_chunk_35,AI_Training_Document.pdf,293,"NAM shall administer all batches concu rrently, to the extent possible All parties agree that Demand..."
AI_Training_Document.pdf_chunk_36,AI_Training_Document.pdf,298,"3 ""Waiver of Class or Other Non -Individualized Relief"", if any part or parts of this Agreement to A..."
AI_Training_Document.pdf_chunk_37,AI_Training_Document.pdf,290,"You must complete, sign, and mail that to us to opt out of this Agreement to Arbitrate You must sign..."
AI_Training_Document.pdf_chunk_38,AI_Training_Document.pdf,256,The amendment shall apply to all other disputes or claims governed by the Agreement to Arbitrate tha...
AI_Training_Document.pdf_chunk_39,AI_Training_Document.pdf,298,"General Except as otherwise provided in this User Agreement, if any provision of this User Agreement..."
AI_Training_Document.pdf_chunk_40,AI_Training_Document.pdf,299,The policies and terms posted on our Services may be changed from time to time Changes take effect w...
